Date,Technology,Search_Interest,Job_Postings,GitHub_Repos,Research_Papers,Funding_Received
2022-01-01,AI & Machine Learning,85,2256,1195,102,69000000
2022-01-01,Quantum Computing,44,1735,447,268,108000000
2022-01-01,Blockchain,33,1773,642,496,172000000
2022-01-01,5G Networks,72,740,1899,201,186000000
2022-01-01,Edge Computing,72,2896,1070,19,326000000
2022-01-01,Cybersecurity,73,4086,1965,179,217000000
2022-01-01,AR/VR,44,3011,993,108,184000000
2022-01-01,IoT,59,516,476,94,46000000
2022-01-01,Biotech,20,3213,357,160,189000000
2022-01-01,Renewable Energy,24,4411,540,320,454000000
2022-01-08,AI & Machine Learning,29,1836,531,174,477000000
2022-01-08,Quantum Computing,56,2186,318,291,417000000
2022-01-08,Blockchain,48,4968,1836,113,247000000
2022-01-08,5G Networks,34,2499,442,55,62000000
2022-01-08,Edge Computing,90,4646,1244,274,163000000
2022-01-08,Cybersecurity,86,3109,535,374,449000000
2022-01-08,AR/VR,47,3819,110,414,311000000
2022-01-08,IoT,44,1189,948,202,249000000
2022-01-08,Biotech,25,4613,169,372,334000000
2022-01-08,Renewable Energy,83,352,457,195,280000000
2022-01-15,AI & Machine Learning,94,625,208,388,55000000
2022-01-15,Quantum Computing,76,3141,125,354,368000000
2022-01-15,Blockchain,92,365,1785,207,68000000
2022-01-15,5G Networks,91,635,693,198,391000000
2022-01-15,Edge Computing,43,862,120,94,323000000
2022-01-15,Cybersecurity,93,1805,556,210,70000000
2022-01-15,AR/VR,33,3208,1548,296,442000000
2022-01-15,IoT,52,1031,1396,43,214000000
2022-01-15,Biotech,61,3881,894,429,454000000
2022-01-15,Renewable Energy,78,536,970,95,76000000
2022-01-22,AI & Machine Learning,26,2123,896,422,444000000
2022-01-22,Quantum Computing,95,1998,1589,291,229000000
2022-01-22,Blockchain,82,1396,907,102,98000000
2022-01-22,5G Networks,46,1402,1107,365,363000000
2022-01-22,Edge Computing,29,4975,625,432,426000000
2022-01-22,Cybersecurity,94,1523,457,253,358000000
2022-01-22,AR/VR,85,3545,1442,284,383000000
2022-01-22,IoT,38,1474,195,325,215000000
2022-01-22,Biotech,78,4673,909,427,245000000
2022-01-22,Renewable Energy,33,2965,1929,227,216000000
2022-01-29,AI & Machine Learning,34,4965,1530,285,103000000
2022-01-29,Quantum Computing,38,2205,720,252,270000000
2022-01-29,Blockchain,50,1105,1640,82,122000000
2022-01-29,5G Networks,45,102,1420,60,460000000
2022-01-29,Edge Computing,43,4459,85,289,373000000
2022-01-29,Cybersecurity,45,3581,1703,295,349000000
2022-01-29,AR/VR,96,2155,1921,310,446000000
2022-01-29,IoT,62,4497,484,210,183000000
2022-01-29,Biotech,31,4787,1734,96,146000000
2022-01-29,Renewable Energy,66,3483,1263,103,416000000
2022-02-05,AI & Machine Learning,65,341,639,489,486000000
2022-02-05,Quantum Computing,98,1945,1759,309,126000000
2022-02-05,Blockchain,53,1741,483,181,255000000
2022-02-05,5G Networks,91,142,888,328,410000000
2022-02-05,Edge Computing,74,277,147,70,258000000
2022-02-05,Cybersecurity,66,841,864,471,47000000
2022-02-05,AR/VR,87,3331,1231,334,479000000
2022-02-05,IoT,62,1123,877,138,447000000
2022-02-05,Biotech,74,3287,1483,163,298000000
2022-02-05,Renewable Energy,23,510,1879,15,28000000
2022-02-12,AI & Machine Learning,83,1992,1786,464,62000000
2022-02-12,Quantum Computing,74,3295,218,203,177000000
2022-02-12,Blockchain,27,143,584,455,351000000
2022-02-12,5G Networks,40,2233,781,297,411000000
2022-02-12,Edge Computing,36,1359,402,318,68000000
2022-02-12,Cybersecurity,63,4329,421,117,114000000
2022-02-12,AR/VR,55,2985,1253,131,82000000
2022-02-12,IoT,22,3774,1497,74,17000000
2022-02-12,Biotech,37,4845,1059,62,245000000
2022-02-12,Renewable Energy,69,1036,1162,428,91000000
2022-02-19,AI & Machine Learning,34,4197,1333,230,496000000
2022-02-19,Quantum Computing,23,1584,826,74,299000000
2022-02-19,Blockchain,63,4433,1205,162,365000000
2022-02-19,5G Networks,86,2949,1597,247,232000000
2022-02-19,Edge Computing,68,3097,377,320,457000000
2022-02-19,Cybersecurity,61,3020,1405,304,360000000
2022-02-19,AR/VR,43,2167,52,297,474000000
2022-02-19,IoT,24,4806,1524,127,263000000
2022-02-19,Biotech,43,4655,1046,398,333000000
2022-02-19,Renewable Energy,26,2344,599,288,119000000
2022-02-26,AI & Machine Learning,42,3871,709,383,119000000
2022-02-26,Quantum Computing,37,2129,661,216,175000000
2022-02-26,Blockchain,52,246,1213,112,232000000
2022-02-26,5G Networks,72,1215,1168,490,107000000
2022-02-26,Edge Computing,24,4357,1789,63,130000000
2022-02-26,Cybersecurity,90,3491,1474,481,330000000
2022-02-26,AR/VR,98,3776,1421,292,181000000
2022-02-26,IoT,82,2836,1964,418,18000000
2022-02-26,Biotech,42,4745,418,154,442000000
2022-02-26,Renewable Energy,37,218,1310,301,348000000
2022-03-05,AI & Machine Learning,27,2542,1112,378,108000000
2022-03-05,Quantum Computing,20,2179,486,136,66000000
2022-03-05,Blockchain,64,1334,1281,449,467000000
2022-03-05,5G Networks,43,3441,1235,288,162000000
2022-03-05,Edge Computing,23,3368,190,477,115000000
2022-03-05,Cybersecurity,91,2601,1590,332,240000000
2022-03-05,AR/VR,71,4713,1399,74,158000000
2022-03-05,IoT,77,2483,1339,137,236000000
2022-03-05,Biotech,89,2429,1219,139,360000000
2022-03-05,Renewable Energy,24,367,1723,494,216000000
2022-03-12,AI & Machine Learning,37,1216,461,483,173000000
2022-03-12,Quantum Computing,30,4592,1055,145,196000000
2022-03-12,Blockchain,44,4733,1576,473,146000000
2022-03-12,5G Networks,41,4640,721,249,285000000
2022-03-12,Edge Computing,39,1183,127,247,29000000
2022-03-12,Cybersecurity,65,915,1837,234,73000000
2022-03-12,AR/VR,88,1897,978,293,446000000
2022-03-12,IoT,41,1988,792,373,141000000
2022-03-12,Biotech,49,1799,1187,309,56000000
2022-03-12,Renewable Energy,80,3486,1999,264,223000000
2022-03-19,AI & Machine Learning,47,489,1651,198,413000000
2022-03-19,Quantum Computing,86,1980,1061,285,32000000
2022-03-19,Blockchain,81,3336,1628,286,213000000
2022-03-19,5G Networks,52,885,1074,128,382000000
2022-03-19,Edge Computing,64,3901,1666,263,335000000
2022-03-19,Cybersecurity,65,1191,1893,452,123000000
2022-03-19,AR/VR,60,2898,243,79,275000000
2022-03-19,IoT,42,3695,1440,382,346000000
2022-03-19,Biotech,21,2585,244,17,197000000
2022-03-19,Renewable Energy,93,4695,1411,409,318000000
2022-03-26,AI & Machine Learning,66,4507,1640,483,421000000
2022-03-26,Quantum Computing,55,2400,151,258,352000000
2022-03-26,Blockchain,71,1538,1515,21,416000000
2022-03-26,5G Networks,21,4375,207,68,498000000
2022-03-26,Edge Computing,56,3167,1312,21,140000000
2022-03-26,Cybersecurity,26,1045,737,121,42000000
2022-03-26,AR/VR,67,510,256,32,156000000
2022-03-26,IoT,95,3719,1306,339,189000000
2022-03-26,Biotech,59,2476,1809,57,334000000
2022-03-26,Renewable Energy,27,221,537,240,277000000
2022-04-02,AI & Machine Learning,83,2090,1315,482,129000000
2022-04-02,Quantum Computing,56,1954,513,324,300000000
2022-04-02,Blockchain,86,4273,428,328,347000000
2022-04-02,5G Networks,47,3896,1320,77,186000000
2022-04-02,Edge Computing,48,2302,298,278,250000000
2022-04-02,Cybersecurity,33,1595,944,200,433000000
2022-04-02,AR/VR,97,3534,994,108,355000000
2022-04-02,IoT,31,1534,869,386,98000000
2022-04-02,Biotech,45,2612,1311,246,480000000
2022-04-02,Renewable Energy,30,2332,1312,12,328000000
2022-04-09,AI & Machine Learning,85,2598,1018,399,383000000
2022-04-09,Quantum Computing,60,3375,1100,33,196000000
2022-04-09,Blockchain,68,4767,1539,200,435000000
2022-04-09,5G Networks,78,4132,1582,297,262000000
2022-04-09,Edge Computing,72,3797,940,309,367000000
2022-04-09,Cybersecurity,85,2014,640,421,471000000
2022-04-09,AR/VR,88,2234,595,373,73000000
2022-04-09,IoT,51,2424,1427,464,483000000
2022-04-09,Biotech,88,1501,1660,407,141000000
2022-04-09,Renewable Energy,68,1258,1474,195,70000000
2022-04-16,AI & Machine Learning,66,3091,393,131,18000000
2022-04-16,Quantum Computing,70,4682,466,252,347000000
2022-04-16,Blockchain,88,4760,977,316,180000000
2022-04-16,5G Networks,54,4017,630,287,142000000
2022-04-16,Edge Computing,63,1266,503,182,302000000
2022-04-16,Cybersecurity,25,1200,1031,144,149000000
2022-04-16,AR/VR,82,404,454,173,197000000
2022-04-16,IoT,66,1677,1379,131,351000000
2022-04-16,Biotech,68,3011,993,487,100000000
2022-04-16,Renewable Energy,85,3803,1479,281,28000000
2022-04-23,AI & Machine Learning,61,3428,645,409,135000000
2022-04-23,Quantum Computing,79,4808,1289,406,417000000
2022-04-23,Blockchain,37,4467,390,153,186000000
2022-04-23,5G Networks,81,2719,953,347,371000000
2022-04-23,Edge Computing,94,173,1277,162,95000000
2022-04-23,Cybersecurity,83,3863,458,73,393000000
2022-04-23,AR/VR,78,1759,1921,303,463000000
2022-04-23,IoT,86,303,1230,279,257000000
2022-04-23,Biotech,53,118,363,365,360000000
2022-04-23,Renewable Energy,30,1285,507,452,329000000
2022-04-30,AI & Machine Learning,47,2754,314,444,455000000
2022-04-30,Quantum Computing,93,2552,731,257,425000000
2022-04-30,Blockchain,96,1023,838,486,369000000
2022-04-30,5G Networks,37,2219,179,116,260000000
2022-04-30,Edge Computing,35,2485,721,177,98000000
2022-04-30,Cybersecurity,69,1006,336,429,185000000
2022-04-30,AR/VR,29,4288,1670,382,296000000
2022-04-30,IoT,54,4042,1334,26,274000000
2022-04-30,Biotech,33,3714,554,280,245000000
2022-04-30,Renewable Energy,44,1918,1098,312,202000000
2022-05-07,AI & Machine Learning,75,4903,407,277,167000000
2022-05-07,Quantum Computing,67,1869,1150,158,78000000
2022-05-07,Blockchain,46,3602,785,343,380000000
2022-05-07,5G Networks,25,2835,1539,157,321000000
2022-05-07,Edge Computing,34,4366,517,467,153000000
2022-05-07,Cybersecurity,60,3695,1461,36,304000000
2022-05-07,AR/VR,48,4006,817,492,194000000
2022-05-07,IoT,74,742,1034,150,371000000
2022-05-07,Biotech,72,1773,1814,469,260000000
2022-05-07,Renewable Energy,37,292,941,408,153000000
2022-05-14,AI & Machine Learning,33,2921,679,469,9000000
2022-05-14,Quantum Computing,37,4371,708,390,184000000
2022-05-14,Blockchain,58,2752,1193,80,23000000
2022-05-14,5G Networks,24,4286,1514,420,288000000
2022-05-14,Edge Computing,30,1891,630,152,463000000
2022-05-14,Cybersecurity,63,3411,1927,38,238000000
2022-05-14,AR/VR,27,3807,890,31,74000000
2022-05-14,IoT,73,3556,1644,251,233000000
2022-05-14,Biotech,29,1300,1449,370,472000000
2022-05-14,Renewable Energy,21,3031,1385,97,254000000
2022-05-21,AI & Machine Learning,83,3186,703,390,389000000
2022-05-21,Quantum Computing,66,4703,349,492,86000000
2022-05-21,Blockchain,21,365,825,93,363000000
2022-05-21,5G Networks,99,2076,162,312,358000000
2022-05-21,Edge Computing,54,4030,302,184,18000000
2022-05-21,Cybersecurity,42,1131,1691,124,347000000
2022-05-21,AR/VR,27,2422,711,482,265000000
2022-05-21,IoT,42,217,1697,22,110000000
2022-05-21,Biotech,55,490,194,195,427000000
2022-05-21,Renewable Energy,41,2066,1147,272,175000000
2022-05-28,AI & Machine Learning,57,2054,1111,375,497000000
2022-05-28,Quantum Computing,63,1157,1036,368,357000000
2022-05-28,Blockchain,91,3963,1968,380,291000000
2022-05-28,5G Networks,86,1427,560,270,180000000
2022-05-28,Edge Computing,51,1754,677,371,203000000
2022-05-28,Cybersecurity,39,2645,1135,434,100000000
2022-05-28,AR/VR,54,2229,242,356,162000000
2022-05-28,IoT,35,2582,354,112,30000000
2022-05-28,Biotech,22,2700,1715,262,454000000
2022-05-28,Renewable Energy,33,2434,1491,434,81000000
2022-06-04,AI & Machine Learning,75,522,1584,157,11000000
2022-06-04,Quantum Computing,51,504,663,158,222000000
2022-06-04,Blockchain,32,2916,476,105,197000000
2022-06-04,5G Networks,66,142,1121,333,395000000
2022-06-04,Edge Computing,85,3919,1006,17,347000000
2022-06-04,Cybersecurity,72,1479,1528,266,446000000
2022-06-04,AR/VR,22,4902,658,433,43000000
2022-06-04,IoT,98,2278,1519,18,195000000
2022-06-04,Biotech,54,2746,688,312,434000000
2022-06-04,Renewable Energy,59,639,275,312,321000000
2022-06-11,AI & Machine Learning,62,385,1315,121,332000000
2022-06-11,Quantum Computing,35,1580,1959,250,107000000
2022-06-11,Blockchain,32,3970,1875,157,17000000
2022-06-11,5G Networks,60,1849,1177,480,366000000
2022-06-11,Edge Computing,59,3832,780,144,43000000
2022-06-11,Cybersecurity,26,4744,785,182,381000000
2022-06-11,AR/VR,40,3915,912,112,21000000
2022-06-11,IoT,67,4869,1681,59,449000000
2022-06-11,Biotech,47,3352,1757,14,161000000
2022-06-11,Renewable Energy,96,1822,1084,106,117000000
2022-06-18,AI & Machine Learning,47,2739,1818,182,376000000
2022-06-18,Quantum Computing,55,3976,1190,343,436000000
2022-06-18,Blockchain,50,2090,285,350,439000000
2022-06-18,5G Networks,29,1069,440,143,211000000
2022-06-18,Edge Computing,69,2059,1684,42,9000000
2022-06-18,Cybersecurity,45,2055,59,83,422000000
2022-06-18,AR/VR,37,209,1807,34,65000000
2022-06-18,IoT,97,3883,778,454,112000000
2022-06-18,Biotech,23,1986,997,242,162000000
2022-06-18,Renewable Energy,36,358,1354,130,149000000
2022-06-25,AI & Machine Learning,87,1386,100,311,364000000
2022-06-25,Quantum Computing,81,2761,721,255,148000000
2022-06-25,Blockchain,50,3373,1222,153,285000000
2022-06-25,5G Networks,34,1419,943,198,297000000
2022-06-25,Edge Computing,86,908,1074,286,241000000
2022-06-25,Cybersecurity,50,704,1931,311,81000000
2022-06-25,AR/VR,85,940,277,494,368000000
2022-06-25,IoT,97,3191,329,176,394000000
2022-06-25,Biotech,31,4770,1638,38,282000000
2022-06-25,Renewable Energy,33,3946,386,72,30000000
2022-07-02,AI & Machine Learning,47,4471,1201,238,252000000
2022-07-02,Quantum Computing,41,2671,1506,435,117000000
2022-07-02,Blockchain,92,4760,1383,242,157000000
2022-07-02,5G Networks,41,3327,1584,384,485000000
2022-07-02,Edge Computing,93,3605,108,243,74000000
2022-07-02,Cybersecurity,35,4155,1287,153,384000000
2022-07-02,AR/VR,64,327,389,480,146000000
2022-07-02,IoT,24,673,1578,39,431000000
2022-07-02,Biotech,66,3893,1734,54,138000000
2022-07-02,Renewable Energy,58,3491,1504,467,309000000
2022-07-09,AI & Machine Learning,44,4831,339,106,135000000
2022-07-09,Quantum Computing,89,2464,1967,271,201000000
2022-07-09,Blockchain,85,4917,111,92,247000000
2022-07-09,5G Networks,38,4799,1110,166,472000000
2022-07-09,Edge Computing,42,2141,65,473,103000000
2022-07-09,Cybersecurity,25,2354,390,224,239000000
2022-07-09,AR/VR,61,3414,1061,416,127000000
2022-07-09,IoT,95,2584,719,491,275000000
2022-07-09,Biotech,72,1453,1061,379,183000000
2022-07-09,Renewable Energy,91,794,835,321,450000000
2022-07-16,AI & Machine Learning,54,4897,1256,76,114000000
2022-07-16,Quantum Computing,83,241,58,118,221000000
2022-07-16,Blockchain,28,3808,1007,430,117000000
2022-07-16,5G Networks,56,1715,1305,26,489000000
2022-07-16,Edge Computing,62,141,770,298,211000000
2022-07-16,Cybersecurity,93,1895,1044,104,294000000
2022-07-16,AR/VR,41,4585,1933,127,403000000
2022-07-16,IoT,67,1647,775,376,376000000
2022-07-16,Biotech,97,4791,932,381,115000000
2022-07-16,Renewable Energy,72,156,281,283,167000000
2022-07-23,AI & Machine Learning,31,4116,1804,76,191000000
2022-07-23,Quantum Computing,67,4195,1477,296,118000000
2022-07-23,Blockchain,98,453,847,461,229000000
2022-07-23,5G Networks,87,3974,1686,221,378000000
2022-07-23,Edge Computing,52,1783,1190,488,157000000
2022-07-23,Cybersecurity,32,4082,1991,213,172000000
2022-07-23,AR/VR,90,2317,856,47,483000000
2022-07-23,IoT,63,1536,635,107,229000000
2022-07-23,Biotech,29,3441,1055,342,28000000
2022-07-23,Renewable Energy,65,3719,1650,482,172000000
2022-07-30,AI & Machine Learning,64,2901,964,463,142000000
2022-07-30,Quantum Computing,48,2176,906,180,368000000
2022-07-30,Blockchain,21,4768,257,197,54000000
2022-07-30,5G Networks,23,4674,1816,260,375000000
2022-07-30,Edge Computing,44,2874,1182,192,401000000
2022-07-30,Cybersecurity,72,1533,1562,466,201000000
2022-07-30,AR/VR,45,3871,497,260,309000000
2022-07-30,IoT,89,1832,842,247,341000000
2022-07-30,Biotech,49,1376,132,454,348000000
2022-07-30,Renewable Energy,73,109,631,116,211000000
2022-08-06,AI & Machine Learning,72,793,1991,300,95000000
2022-08-06,Quantum Computing,74,2210,1837,200,382000000
2022-08-06,Blockchain,31,2723,131,155,300000000
2022-08-06,5G Networks,94,1207,1374,93,83000000
2022-08-06,Edge Computing,72,1630,1333,144,335000000
2022-08-06,Cybersecurity,49,1134,645,418,348000000
2022-08-06,AR/VR,51,3441,1493,285,77000000
2022-08-06,IoT,65,3501,1490,296,397000000
2022-08-06,Biotech,51,1992,830,86,336000000
2022-08-06,Renewable Energy,34,3079,447,215,74000000
2022-08-13,AI & Machine Learning,25,1985,1768,123,332000000
2022-08-13,Quantum Computing,81,4756,776,172,443000000
2022-08-13,Blockchain,84,1978,1746,473,195000000
2022-08-13,5G Networks,99,3034,1634,259,25000000
2022-08-13,Edge Computing,48,2223,1620,193,157000000
2022-08-13,Cybersecurity,82,733,1567,167,104000000
2022-08-13,AR/VR,34,1214,964,289,473000000
2022-08-13,IoT,33,1586,345,148,288000000
2022-08-13,Biotech,62,943,909,372,349000000
2022-08-13,Renewable Energy,54,2216,1678,212,259000000
2022-08-20,AI & Machine Learning,57,1203,577,261,326000000
2022-08-20,Quantum Computing,20,3239,408,254,465000000
2022-08-20,Blockchain,22,3528,146,398,321000000
2022-08-20,5G Networks,37,3234,1376,141,58000000
2022-08-20,Edge Computing,59,4373,136,422,50000000
2022-08-20,Cybersecurity,96,3793,1547,105,92000000
2022-08-20,AR/VR,99,1662,301,77,484000000
2022-08-20,IoT,62,3437,1337,94,131000000
2022-08-20,Biotech,82,336,835,493,281000000
2022-08-20,Renewable Energy,82,3316,1661,494,85000000
2022-08-27,AI & Machine Learning,91,3107,1608,251,207000000
2022-08-27,Quantum Computing,55,1887,1996,199,229000000
2022-08-27,Blockchain,83,4426,357,203,450000000
2022-08-27,5G Networks,37,199,730,229,469000000
2022-08-27,Edge Computing,58,4591,1712,292,352000000
2022-08-27,Cybersecurity,34,2009,261,52,329000000
2022-08-27,AR/VR,88,812,1614,404,462000000
2022-08-27,IoT,26,4915,866,142,182000000
2022-08-27,Biotech,91,4820,1423,92,277000000
2022-08-27,Renewable Energy,32,715,1442,334,457000000
2022-09-03,AI & Machine Learning,46,1481,644,420,222000000
2022-09-03,Quantum Computing,20,3577,1008,255,470000000
2022-09-03,Blockchain,39,3802,1645,401,416000000
2022-09-03,5G Networks,92,3329,1976,175,98000000
2022-09-03,Edge Computing,45,2430,729,144,166000000
2022-09-03,Cybersecurity,61,1946,443,341,393000000
2022-09-03,AR/VR,84,3580,1164,148,275000000
2022-09-03,IoT,93,2890,781,15,31000000
2022-09-03,Biotech,68,958,856,394,65000000
2022-09-03,Renewable Energy,75,1124,58,206,439000000
2022-09-10,AI & Machine Learning,27,138,1995,189,227000000
2022-09-10,Quantum Computing,66,1261,884,393,236000000
2022-09-10,Blockchain,81,1757,331,346,398000000
2022-09-10,5G Networks,29,216,461,178,234000000
2022-09-10,Edge Computing,83,1314,1962,105,88000000
2022-09-10,Cybersecurity,77,844,409,428,101000000
2022-09-10,AR/VR,69,1662,1707,97,113000000
2022-09-10,IoT,63,3226,1284,492,152000000
2022-09-10,Biotech,78,3933,183,451,368000000
2022-09-10,Renewable Energy,73,2563,1065,354,167000000
2022-09-17,AI & Machine Learning,39,1324,1744,217,313000000
2022-09-17,Quantum Computing,44,2189,1583,181,394000000
2022-09-17,Blockchain,82,4070,176,167,341000000
2022-09-17,5G Networks,82,659,1691,196,80000000
2022-09-17,Edge Computing,71,4040,287,69,211000000
2022-09-17,Cybersecurity,20,1481,623,65,35000000
2022-09-17,AR/VR,72,1183,1444,351,192000000
2022-09-17,IoT,33,2927,1500,220,26000000
2022-09-17,Biotech,84,3099,1380,248,60000000
2022-09-17,Renewable Energy,33,3474,1064,64,35000000
2022-09-24,AI & Machine Learning,93,3028,1753,452,95000000
2022-09-24,Quantum Computing,30,657,521,423,15000000
2022-09-24,Blockchain,75,3863,407,462,413000000
2022-09-24,5G Networks,27,1945,1305,22,343000000
2022-09-24,Edge Computing,66,2418,840,244,82000000
2022-09-24,Cybersecurity,85,2531,1300,368,207000000
2022-09-24,AR/VR,56,475,1426,120,116000000
2022-09-24,IoT,57,3276,863,17,497000000
